N° étudiant;[Procédurale]; [Orienté Object]; [Fonctionnelle]; [Web (HTML, CSS , PHP , CMS)];[Cloud (Azure, AWS,GCP)];[Embarqué (Arduino, Assembleur, Raspberry...)];[Mobile (Android, iOS,Cross-platform) ]; [Dev Jeux vidéo (Unity, Unreal Engine)];Matières S5 ?  ; [LabView];[Excel]; [Blender];[Unity];[Figma];[Cisco Packet Tracer];[SolidWorks]; [AutoCAD];[K[art]el]; [Ensimersion];[Ensim'elec];Palette couleur;Panne ordi;OS 
e201962;2;2;2;1;1;5;2;3;-2;0;2;1;1;2;1;1;0;0;2;2;-1;-2;1
E200293;1;1;2;2;2;2;3;5;1;0;4;2;2;2;0;2;0;0;2;2;-1;-2;1
e2205472;2;3;2;3;2;2;3;3;4;0;3;2;1;2;0;2;1;0;0;0;1;-2;-1
e2204879;2;3;2;3;1;0;2;3;1;2;4;2;3;4;2;2;1;1;3;0;1;-2;1
e2204699;3;3;1;0;0;5;0;2;-2;2;2;0;0;2;2;2;0;0;0;0;-1;1;-1
e2205039;2;3;2;1;2;2;1;1;-2;1;2;0;0;2;3;2;1;1;1;1;-1;-2;1
E2205565;3;2;3;3;2;3;3;5;1;1;2;1;1;2;0;2;0;0;0;0;-1;-2;1
e2205559;2;3;2;3;1;3;3;1;3;0;2;1;0;0;0;1;2;0;0;0;-1;-2;1
e2205212;1;2;3;2;1;3;3;3;-1;0;3;1;1;2;0;2;1;0;3;2;-1;1;1
e201142;2;2;2;2;1;3;3;2;0;0;3;0;0;2;0;2;0;0;1;2;-1;-2;1
E2204723;1;3;2;2;0;1;2;3;-1;0;2;3;3;2;2;2;0;0;0;0;-1;-2;1
E222120191817;1;1;1;1;1;2;2;2;0;3;2;2;2;1;4;4;3;0;0;2;-1;-2;-1
e2205343;2;1;3;2;2;0;2;2;3;1;2;0;2;3;1;1;1;1;1;1;-1;1;1
e22005023;1;1;1;5;5;0;5;3;2;0;2;0;1;3;1;2;1;0;1;1;1;-2;-1
e2205261;2;3;1;1;0;1;2;5;0;0;1;1;2;1;0;1;0;0;3;0;-1;1;1
e201067;2;2;2;2;2;2;2;2;0;0;2;0;0;2;0;2;0;0;2;0;-1;1;1
e2205472;2;3;2;5;2;2;5;3;4;0;3;3;3;3;1;2;2;0;0;0;0;-2;-1
e2206068;3;1;1;0;0;0;0;0;-3;0;4;0;0;2;0;1;0;0;0;0;-1;1;1
e2205046;1;3;2;3;3;2;3;5;1;0;3;1;1;2;0;2;0;0;1;2;-1;-2;1
E201931;2;1;1;2;3;5;2;0;1;0;3;1;1;2;2;3;1;0;0;0;-1;-2;1
U2107800;1;3;2;5;3;2;5;5;1;2;4;0;2;2;3;1;1;0;2;2;-1;-2;-1
e2203685;1;1;1;3;1;0;3;2;2;0;2;1;1;2;0;1;0;2;0;0;-1;1;1
e200776;2;2;2;0;1;5;2;2;0;3;3;1;1;2;0;2;2;0;0;2;-1;1;1
e2205435;2;2;2;5;2;2;5;5;1;0;3;0;1;3;1;2;1;1;1;1;-1;-2;1
e2205562;1;1;1;3;3;5;5;5;0;0;2;0;0;2;0;2;0;0;0;2;-1;-2;1
e2205762;1;2;1;5;0;0;5;2;4;0;2;1;1;3;2;1;1;1;2;1;-1;1;1
e202211;3;2;1;1;0;1;2;1;1;1;2;1;1;2;1;3;1;0;0;0;-1;1;1
e2204707;1;3;2;5;2;1;5;5;2;1;4;2;3;2;3;2;0;0;2;0;1;-2;1
e2205363;1;1;1;5;0;1;3;3;2;1;2;0;1;2;2;2;0;0;0;0;1;-2;1
s206985;1;1;1;5;3;1;5;3;2;0;2;0;2;2;0;2;0;1;1;1;-1;1;1
e201116;1;2;2;2;1;1;2;2;0;0;3;2;1;1;0;2;0;2;0;0;-1;1;1
e2204701;3;3;2;2;3;5;3;2;-2;0;3;3;2;3;0;2;0;0;0;2;1;-2;-1
e2204767;2;2;3;3;1;2;3;2;1;2;3;1;3;3;1;3;3;0;2;2;-1;1;1
e200790;2;2;2;3;2;3;3;3;-1;0;4;0;1;3;0;3;0;0;0;0;-1;1;1
e200942;3;2;1;3;0;0;2;2;1;1;3;0;1;0;0;2;0;0;0;0;-1;1;1
